zip,lat,long,city,state,county
35004,33.584132,-86.51557,Acmar,AL,
35005,33.588437,-86.959727,Adamsville,AL,
35006,33.434277,-87.167455,Adger,AL,
35007,33.236868,-86.812861,Keystone,AL,
35010,32.941445,-85.951086,New Site,AL,
35014,33.331165,-86.208934,Alpine,AL,
35016,34.328339,-86.489638,Arab,AL,
35019,34.268298,-86.621299,Baileyton,AL,
35020,33.409002,-86.947547,Bessemer,AL,
35023,33.414625,-86.999607,Hueytown,AL,
35031,34.092937,-86.568628,Blountsville,AL,
35033,33.973664,-87.004281,Bremen,AL,
35034,32.93567,-87.211387,Brent,AL,
35035,33.042747,-86.951672,Brierfield,AL,
35040,33.1098,-86.755987,Calera,AL,
35042,32.950324,-87.11924,Centreville,AL,
35043,33.371582,-86.614132,Chelsea,AL,
35044,33.266928,-86.337622,Coosa Pines,AL,
35045,32.835532,-86.642472,Clanton,AL,
35049,33.992106,-86.559355,Cleveland,AL,
35051,33.176964,-86.616145,Columbiana,AL,
35053,34.082117,-87.048395,Crane Hill,AL,
35054,33.506448,-86.280026,Cropwell,AL,
35055,34.176146,-86.829777,Cullman,AL,
35061,33.465424,-86.956435,Dolomite,AL,
35062,33.734947,-87.040148,Dora,AL,
35063,33.825589,-87.016139,Empire,AL,
35064,33.473494,-86.918262,Fairfield,AL,
35068,33.611283,-86.813614,Coalburg,AL,
35071,33.71891,-86.822481,Gardendale,AL,
35072,33.074642,-86.078149,Goodwater,AL,
35073,33.63356,-86.948221,Alden,AL,
35077,34.051569,-86.784844,Hanceville,AL,
35078,33.36746,-86.429441,Harpersville,AL,
35079,33.885806,-86.81767,Hayden,AL,
35080,33.316978,-86.813786,Helena,AL,
35083,34.190085,-86.617441,Holly Pond,AL,
35085,32.980539,-86.718052,Jemison,AL,
35087,34.283739,-86.551939,Joppa,AL,
35089,32.979068,-86.048397,Kellyton,AL,
35091,33.768355,-86.808417,Kimberly,AL,
35094,33.528333,-86.574824,Leeds,AL,
35096,33.605913,-86.111152,Lincoln,AL,
35098,34.184079,-87.038115,Logan,AL,
35111,33.284546,-87.102379,Mc Calla,AL,
35114,33.231694,-86.872745,Maylene,AL,
35115,33.124765,-86.862228,Montevallo,AL,
35116,33.739172,-86.772551,Morris,AL,
35117,33.67678,-86.87171,Mount Olive,AL,
35118,33.540696,-87.043998,Sylvan Springs,AL,
35120,33.675611,-86.408952,Odenville,AL,
35121,33.925858,-86.474118,Oneonta,AL,
35124,33.31046,-86.806176,Indian Springs,AL,
35125,33.597889,-86.343151,Pell City,AL,
35126,33.708131,-86.656542,Dixiana,AL,
35127,33.488336,-86.976586,Pleasant Grove,AL,
35130,33.656065,-87.10066,Quinton,AL,
35131,33.736677,-86.1619,Ragland,AL,
35133,33.846204,-86.641662,Remlap,AL,
35135,33.608832,-86.198341,Riverside,AL,
35136,32.877957,-86.240006,Rockford,AL,
35143,33.078483,-86.553606,Shelby,AL,
35146,33.738647,-86.439407,Springville,AL,
35147,33.446103,-86.491732,Sterrett,AL,
35148,33.768005,-87.044545,Sumiton,AL,
35150,33.171675,-86.271257,Sylacauga,AL,
35160,33.435445,-86.113352,Talladega,AL,
35171,32.923755,-86.746724,Thorsby,AL,
35172,33.819038,-86.743414,Trafford,AL,
35173,33.633932,-86.598068,Trussville,AL,
35175,34.409345,-86.462793,Union Grove,AL,
35176,33.480704,-86.501278,Vandiver,AL,
35178,33.401049,-86.399425,Vincent,AL,
35179,34.262121,-86.912512,Vinemont,AL,
35180,33.852862,-86.819849,Warrior,AL,
35183,33.02381,-86.304203,Weogufka,AL,
35184,33.142431,-87.13694,West Blocton,AL,
35186,33.229255,-86.529894,Wilsonville,AL,
35188,33.169808,-87.163469,Woodstock,AL,
35203,33.520994,-86.806626,Birmingham,AL,
35204,33.51795,-86.837198,Birmingham,AL,
35205,33.495144,-86.805937,Birmingham,AL,
35206,33.567797,-86.719854,Birmingham,AL,
35207,33.559383,-86.815344,Birmingham,AL,
35208,33.497658,-86.879884,Birmingham,AL,
35209,33.469624,-86.806738,Homewood,AL,
35210,33.532797,-86.685697,Irondale,AL,
35211,33.481565,-86.85904,Birmingham,AL,
35212,33.540883,-86.749524,Birmingham,AL,
35213,33.508195,-86.742108,Crestline Height,AL,
35214,33.555445,-86.886989,Birmingham,AL,
35215,33.635447,-86.693197,Center Point,AL,
35216,33.41531,-86.790425,Vestavia Hills,AL,
35217,33.5887,-86.764995,Birmingham,AL,
35218,33.505972,-86.892993,Birmingham,AL,
35221,33.452316,-86.893493,Birmingham,AL,
35222,33.521859,-86.766579,Birmingham,AL,
35223,33.488726,-86.736584,Mountain Brook,AL,
35224,33.519126,-86.934193,Birmingham,AL,
35226,33.403675,-86.831257,Bluff Park,AL,
35228,33.462446,-86.914703,Midfield,AL,
35233,33.506161,-86.800257,Birmingham,AL,
35234,33.53775,-86.80685,Birmingham,AL,
35235,33.618045,-86.661051,Center Point,AL,
35242,33.401559,-86.705511,Shoal Creek,AL,
35243,33.446053,-86.743676,Cahaba Heights,AL,
35244,33.371776,-86.776381,Hoover,AL,
35401,33.196891,-87.562666,Tuscaloosa,AL,
35404,33.210914,-87.488079,Holt,AL,
35405,33.161704,-87.514435,Tuscaloosa,AL,
35406,33.272174,-87.536035,Tuscaloosa,AL,
35441,32.872354,-87.708558,Stewart,AL,
35442,33.122813,-88.166689,Aliceville,AL,
35443,32.774646,-88.026652,Boligee,AL,
35444,33.277523,-87.309025,Brookwood,AL,
35446,33.249448,-87.718886,Buhl,AL,
35447,33.248506,-88.132122,Carrollton,AL,
35452,33.252612,-87.636528,Coker,AL,
35453,33.176667,-87.387051,Cottondale,AL,
35456,33.082815,-87.494977,Duncanville,AL,
35457,33.316559,-87.807202,Echola,AL,
35458,33.343678,-87.801429,Elrod,AL,
35459,32.754963,-88.305747,Emelle,AL,
35460,32.763371,-88.161443,Epes,AL,
35461,33.386816,-88.221987,Ethelsville,AL,
35462,32.888871,-87.930297,Eutaw,AL,
35463,33.135859,-87.735688,Fosters,AL,
35464,32.908364,-88.271558,Gainesville,AL,
35466,33.346917,-87.900504,Gordo,AL,
35469,32.982423,-87.791855,Knoxville,AL,
35470,32.588509,-88.173592,Coatopa,AL,
35474,32.978853,-87.615134,Cypress,AL,
35476,33.283425,-87.591441,Northport,AL,
35480,33.062868,-87.744984,Ralph,AL,
35481,33.395945,-88.020277,Reform,AL,
35490,33.17498,-87.257362,Vance,AL,
35501,33.871672,-87.249144,Jasper,AL,
35540,34.205571,-87.194766,Addison,AL,
35541,34.063234,-87.182761,Arley,AL,
35542,33.70083,-87.68965,Bankston,AL,
35543,34.213469,-87.686083,Bear Creek,AL,
35544,33.942877,-88.01567,Beaverton,AL,
35546,33.694485,-87.622563,Berry,AL,
